food_id,food_name,image_url,declared_status,http_status,content_type,content_length,access_status,reason
FD0367,semangka,https://cdn.timesmedia.co.id/images/2018/10/03/Semangka-Merah.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0368,semur jengkol,https://assets.pikiran-rakyat.com/crop/0x135:1080x1215/x/photo/2020/11/25/1187166638.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0369,bubuk cokelat,https://upload.wikimedia.org/wikipedia/commons/6/69/Food_Sundanese_Restaurant%2C_Jakarta.jpg,refreshed,,,,not_checked,manual_real_food_curation_not_live_checked
FD0370,sie reuboh sapi,https://cdn0-production-images-kly.akamaized.net/9A6K5z9xgb8RkvkFIp5RFFE5b_o=/0x185:4800x2890/469x260/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3911399/original/008984200_1642826892-shutterstock_2081704363.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0371,singkong goreng,https://sweetrip.id/wp-content/uploads/2022/04/singkong.jpeg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0372,singkong kukus,https://asset.kompas.com/crops/5kSIoZRz5urTHMM1PdoIQ64E0zU=/0x0:996x664/750x500/data/photo/2021/08/21/61208628cd52c.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0373,singkong tape,https://upload.wikimedia.org/wikipedia/commons/6/69/Food_Sundanese_Restaurant%2C_Jakarta.jpg,refreshed,,,,not_checked,manual_real_food_curation_not_live_checked
FD0374,sirsak,https://assets.pikiran-rakyat.com/crop/0x0:0x0/x/photo/2021/09/20/3327403627.jpeg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0375,sop buntut sapi,https://upload.wikimedia.org/wikipedia/commons/2/27/Sop%20Buntut%20Oxtail%20soup.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0376,sop daging sapi,https://img.okezone.com/content/2020/02/27/298/2175054/resep-sayur-sop-daging-masakan-rumahan-paling-populer-24WHr0ACJo.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0377,sop kaki sapi,https://www.ruparupa.com/blog/wp-content/uploads/2021/06/Screen-Shot-2021-06-21-at-14.11.27.png,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0378,sop kambing,https://asset.kompas.com/crops/4BopB2so0iCh5Dj_6QkB41md3B0=/3x0:700x465/750x500/data/photo/2021/01/15/6000de7b45e69.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0379,sop konro,https://asset.kompas.com/crops/t9vL2Z6ZAjt7cnpl05cuYOfd2k4=/129x72:651x420/750x500/data/photo/2020/07/30/5f22636a0e7e0.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0380,sop kol,https://upload.wikimedia.org/wikipedia/commons/6/69/Food_Sundanese_Restaurant%2C_Jakarta.jpg,refreshed,,,,not_checked,manual_real_food_curation_not_live_checked
FD0381,sop kol dan wortel,https://img-global.cpcdn.com/recipes/8adcb73d8f012620/680x482cq70/sop-kol-simple-foto-resep-utama.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0382,sop saudara,https://resepkoki.id/wp-content/uploads/2018/03/Resep-Sop-Sodara.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0383,soto bandung,https://upload.wikimedia.org/wikipedia/commons/e/e4/Soto%20Bandung.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0384,soto banjar,https://upload.wikimedia.org/wikipedia/commons/6/69/Food_Sundanese_Restaurant%2C_Jakarta.jpg,refreshed,,,,not_checked,manual_real_food_curation_not_live_checked
FD0385,soto betawi,https://upload.wikimedia.org/wikipedia/commons/d/d7/SOTO%20BETAWI.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0386,soto dengan daging,https://commons.wikimedia.org/wiki/Special:FilePath/SOTO%20BETAWI.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0387,soto jeroan sapi,https://awsimages.detik.net.id/community/media/visual/2022/03/15/resep-soto-jeroan-sapi_43.jpeg?w=1200,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0388,soto kudus,https://upload.wikimedia.org/wikipedia/commons/6/69/Food_Sundanese_Restaurant%2C_Jakarta.jpg,refreshed,,,,not_checked,manual_real_food_curation_not_live_checked
FD0389,soto madura,"https://cdn.yummy.co.id/content-images/images/20210311/FyZCyT9dfZQGp9zNZhL2iuoQn9pA7hpK-31363135343538363836d41d8cd98f00b204e9800998ecf8427e.jpg?x-oss-process=image/format,webp",ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0390,soto padang,https://topwisata.info/wp-content/uploads/2020/11/resep2Bsoto2Bpadang2B252812529.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0391,soto pekalongan,https://www.topwisata.info/wp-content/uploads/2021/12/Soto-Tauto-Pekalongan-1.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0392,soto pemalang,https://i0.wp.com/bogor-today.com/wp-content/uploads/2022/09/87456.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0393,soto sukaraja,https://upload.wikimedia.org/wikipedia/commons/6/69/Food_Sundanese_Restaurant%2C_Jakarta.jpg,refreshed,,,,not_checked,manual_real_food_curation_not_live_checked
FD0394,soto sulung,https://www.primarasa.co.id/images/images/Soto%20sulung%20artikel%281%29.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0395,soto tanpa daging,https://resepkoki.id/wp-content/uploads/2019/11/Soto-Ayam-Bening.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0396,nasu likku masakan,https://upload.wikimedia.org/wikipedia/commons/6/69/Food_Sundanese_Restaurant%2C_Jakarta.jpg,refreshed,429,text/html; charset=utf-8,,blocked_or_error,http_error_429
FD0397,susu kambing,https://cdn.hellosehat.com/2019/04/0301a50d-shutterstock_1082562986-e1616553170498.jpg?w=828&q=75,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0398,susu kedelai,https://www.astronauts.id/blog/wp-content/uploads/2022/11/Ini-Keunggulan-Susu-Kedelai-Dibanding-Susu-Sapi-yang-Tidak-Banyak-Orang-Tahu-1200x900.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0399,susu kental manis,https://asset.kompas.com/crops/C220cRbRPu0EoI8SMHWr0HeFGuU=/0x0:750x500/750x500/data/photo/2022/06/03/6299dc0edf868.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0400,susu kental tak manis,https://res.cloudinary.com/dk0z4ums3/image/upload/v1627294463/attached_image/menakar-jumlah-kalori-kental-manis.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0401,susu kerbau,https://img.okezone.com/content/2018/06/01/481/1905351/tak-kalah-dari-sapi-minum-susu-kerbau-bisa-turunkan-kolesterol-jahat-xdwHF7iYmc.jpeg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0402,susu sapi,https://awsimages.detik.net.id/community/media/visual/2022/01/16/ciri-ciri-susu-sapi-segar-sudah-basi-1.jpeg?w=1200,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0403,susu skim tak berlemak,https://upload.wikimedia.org/wikipedia/commons/1/1a/Milk_Allergy.jpg,refreshed,,,,not_checked,manual_real_food_curation_not_live_checked
FD0404,tahu goreng,https://img-global.cpcdn.com/recipes/33285f91f3b22e50/1200x630cq70/photo.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0405,talas bogor kukus,https://img-global.cpcdn.com/recipes/efaf364743906d68/680x482cq70/urab-talas-bogor-kukus-foto-resep-utama.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0406,taoge goreng,https://upload.wikimedia.org/wikipedia/commons/6/69/Food_Sundanese_Restaurant%2C_Jakarta.jpg,refreshed,,,,not_checked,manual_real_food_curation_not_live_checked
